56.0, 53.0, 53.4, 53.2, 55.9, 56.5, 56.5, 57.8, 56.5, 57.7, 56.8, 59.9
98.0, 97.5, 95.5, 93.3, 89.9, 86.1, 82.8, 79.9, 74.8, 73.2, 71.8, 71.7
99.9, 99.5, 98.2, 95.7, 92.7, 88.5, 84.7, 81.2, 78.1, 77.5, 74.4, 74.4
93.7, 92.5, 90.9, 89.1, 86.9, 84.1, 81.7, 79.8, 76.1, 75.7, 75.3, 75.1
93.0, 93.4, 91.7, 90.3, 88.2, 85.5, 82.7, 81.4, 77.6, 77.0, 75.4, 75.8
90.2, 90.3, 89.4, 87.6, 86.0, 83.6, 81.2, 79.6, 76.5, 75.2, 74.6, 75.7
86.8, 84.9, 83.5, 82.5, 81.1, 79.1, 76.6, 75.6, 72.4, 71.3, 70.9, 71.2
86.6, 83.9, 82.4, 81.4, 80.2, 78.6, 76.5, 75.5, 73.1, 72.7, 72.2, 73.3
99.9, 98.9, 98.5, 97.4, 94.9, 91.5, 87.6, 85.0, 80.3, 78.5, 77.1, 75.2
99.3, 98.1, 98.0, 96.9, 94.3, 90.6, 86.1, 83.5, 79.2, 76.6, 74.5, 74.6

